id,account_code,account_name,account_type
0,ACCT0000,Compte numéro 0,Charge
1,ACCT0001,Compte numéro 1,Passif
2,ACCT0002,Compte numéro 2,Produit
3,ACCT0003,Compte numéro 3,Charge
4,ACCT0004,Compte numéro 4,Passif
5,ACCT0005,Compte numéro 5,Produit
6,ACCT0006,Compte numéro 6,Actif
7,ACCT0007,Compte numéro 7,Charge
8,ACCT0008,Compte numéro 8,Charge
9,ACCT0009,Compte numéro 9,Charge
10,ACCT0010,Compte numéro 10,Produit
11,ACCT0011,Compte numéro 11,Produit
12,ACCT0012,Compte numéro 12,Passif
13,ACCT0013,Compte numéro 13,Actif
14,ACCT0014,Compte numéro 14,Produit
15,ACCT0015,Compte numéro 15,Charge
16,ACCT0016,Compte numéro 16,Charge
17,ACCT0017,Compte numéro 17,Charge
18,ACCT0018,Compte numéro 18,Produit
19,ACCT0019,Compte numéro 19,Actif
20,ACCT0020,Compte numéro 20,Passif
21,ACCT0021,Compte numéro 21,Actif
22,ACCT0022,Compte numéro 22,Passif
23,ACCT0023,Compte numéro 23,Actif
24,ACCT0024,Compte numéro 24,Actif
25,ACCT0025,Compte numéro 25,Produit
26,ACCT0026,Compte numéro 26,Actif
27,ACCT0027,Compte numéro 27,Charge
28,ACCT0028,Compte numéro 28,Produit
29,ACCT0029,Compte numéro 29,Produit
30,ACCT0030,Compte numéro 30,Passif
31,ACCT0031,Compte numéro 31,Produit
32,ACCT0032,Compte numéro 32,Passif
33,ACCT0033,Compte numéro 33,Actif
34,ACCT0034,Compte numéro 34,Charge
35,ACCT0035,Compte numéro 35,Passif
36,ACCT0036,Compte numéro 36,Charge
37,ACCT0037,Compte numéro 37,Passif
38,ACCT0038,Compte numéro 38,Passif
39,ACCT0039,Compte numéro 39,Produit
40,ACCT0040,Compte numéro 40,Actif
41,ACCT0041,Compte numéro 41,Passif
42,ACCT0042,Compte numéro 42,Charge
43,ACCT0043,Compte numéro 43,Passif
44,ACCT0044,Compte numéro 44,Passif
45,ACCT0045,Compte numéro 45,Produit
46,ACCT0046,Compte numéro 46,Charge
47,ACCT0047,Compte numéro 47,Passif
48,ACCT0048,Compte numéro 48,Actif
49,ACCT0049,Compte numéro 49,Actif
50,ACCT0050,Compte numéro 50,Charge
51,ACCT0051,Compte numéro 51,Actif
52,ACCT0052,Compte numéro 52,Passif
53,ACCT0053,Compte numéro 53,Charge
54,ACCT0054,Compte numéro 54,Produit
55,ACCT0055,Compte numéro 55,Charge
56,ACCT0056,Compte numéro 56,Charge
57,ACCT0057,Compte numéro 57,Produit
58,ACCT0058,Compte numéro 58,Passif
59,ACCT0059,Compte numéro 59,Actif
60,ACCT0060,Compte numéro 60,Actif
61,ACCT0061,Compte numéro 61,Actif
62,ACCT0062,Compte numéro 62,Produit
63,ACCT0063,Compte numéro 63,Actif
64,ACCT0064,Compte numéro 64,Actif
65,ACCT0065,Compte numéro 65,Passif
66,ACCT0066,Compte numéro 66,Passif
67,ACCT0067,Compte numéro 67,Passif
68,ACCT0068,Compte numéro 68,Charge
69,ACCT0069,Compte numéro 69,Actif
70,ACCT0070,Compte numéro 70,Charge
71,ACCT0071,Compte numéro 71,Charge
72,ACCT0072,Compte numéro 72,Passif
73,ACCT0073,Compte numéro 73,Produit
74,ACCT0074,Compte numéro 74,Passif
75,ACCT0075,Compte numéro 75,Charge
76,ACCT0076,Compte numéro 76,Actif
77,ACCT0077,Compte numéro 77,Produit
78,ACCT0078,Compte numéro 78,Passif
79,ACCT0079,Compte numéro 79,Actif
80,ACCT0080,Compte numéro 80,Produit
81,ACCT0081,Compte numéro 81,Charge
82,ACCT0082,Compte numéro 82,Charge
83,ACCT0083,Compte numéro 83,Actif
84,ACCT0084,Compte numéro 84,Passif
85,ACCT0085,Compte numéro 85,Actif
86,ACCT0086,Compte numéro 86,Charge
87,ACCT0087,Compte numéro 87,Produit
88,ACCT0088,Compte numéro 88,Charge
89,ACCT0089,Compte numéro 89,Charge
90,ACCT0090,Compte numéro 90,Produit
91,ACCT0091,Compte numéro 91,Charge
92,ACCT0092,Compte numéro 92,Actif
93,ACCT0093,Compte numéro 93,Produit
94,ACCT0094,Compte numéro 94,Produit
95,ACCT0095,Compte numéro 95,Charge
96,ACCT0096,Compte numéro 96,Passif
97,ACCT0097,Compte numéro 97,Produit
98,ACCT0098,Compte numéro 98,Charge
99,ACCT0099,Compte numéro 99,Actif
100,ACCT0100,Compte numéro 100,Produit
101,ACCT0101,Compte numéro 101,Actif
102,ACCT0102,Compte numéro 102,Passif
103,ACCT0103,Compte numéro 103,Produit
104,ACCT0104,Compte numéro 104,Passif
105,ACCT0105,Compte numéro 105,Produit
106,ACCT0106,Compte numéro 106,Charge
107,ACCT0107,Compte numéro 107,Passif
108,ACCT0108,Compte numéro 108,Produit
109,ACCT0109,Compte numéro 109,Produit
110,ACCT0110,Compte numéro 110,Passif
111,ACCT0111,Compte numéro 111,Actif
112,ACCT0112,Compte numéro 112,Passif
113,ACCT0113,Compte numéro 113,Actif
114,ACCT0114,Compte numéro 114,Produit
115,ACCT0115,Compte numéro 115,Passif
116,ACCT0116,Compte numéro 116,Passif
117,ACCT0117,Compte numéro 117,Passif
118,ACCT0118,Compte numéro 118,Produit
119,ACCT0119,Compte numéro 119,Actif
120,ACCT0120,Compte numéro 120,Produit
121,ACCT0121,Compte numéro 121,Charge
122,ACCT0122,Compte numéro 122,Charge
123,ACCT0123,Compte numéro 123,Produit
124,ACCT0124,Compte numéro 124,Charge
125,ACCT0125,Compte numéro 125,Passif
126,ACCT0126,Compte numéro 126,Passif
127,ACCT0127,Compte numéro 127,Passif
128,ACCT0128,Compte numéro 128,Passif
129,ACCT0129,Compte numéro 129,Charge
130,ACCT0130,Compte numéro 130,Produit
131,ACCT0131,Compte numéro 131,Actif
132,ACCT0132,Compte numéro 132,Actif
133,ACCT0133,Compte numéro 133,Actif
134,ACCT0134,Compte numéro 134,Produit
