entry_date,account_id,description,debit,credit
2023-10-08,3958,Ecriture automatique 0,0,490.81
2023-12-19,3288,Ecriture automatique 1,0,991.28
2023-07-03,3047,Ecriture automatique 2,0,178.86
2023-04-11,4147,Ecriture automatique 3,0,83.6
2023-06-09,25,Ecriture automatique 4,480.17,0
2023-06-25,2066,Ecriture automatique 5,390.78,0
2023-03-15,4275,Ecriture automatique 6,351.47,0
2023-11-14,2005,Ecriture automatique 7,0,686.6
2023-06-24,3970,Ecriture automatique 8,0,901.08
2023-11-27,916,Ecriture automatique 9,111.15,0
2023-04-20,52,Ecriture automatique 10,554.8,0
2023-11-25,2089,Ecriture automatique 11,135.18,0
2023-02-25,3777,Ecriture automatique 12,0,360.16
2023-06-30,4023,Ecriture automatique 13,0,763.01
2023-07-02,3476,Ecriture automatique 14,0,739.84
2023-04-24,4582,Ecriture automatique 15,616.77,0
2023-05-29,1193,Ecriture automatique 16,957.37,0
2023-10-02,4862,Ecriture automatique 17,159.72,0
2023-11-26,8,Ecriture automatique 18,437.7,0
2023-08-30,3279,Ecriture automatique 19,0,249.58
2023-07-05,3104,Ecriture automatique 20,0,135.27
2023-03-02,1664,Ecriture automatique 21,215.73,0
2023-10-06,538,Ecriture automatique 22,0,794.24
2023-04-12,4823,Ecriture automatique 23,253.87,0
2023-05-28,1483,Ecriture automatique 24,0,448.94
2023-01-04,3175,Ecriture automatique 25,351.3,0
2023-04-16,2189,Ecriture automatique 26,0,252.39
2023-08-29,444,Ecriture automatique 27,883.7,0
2023-06-16,3422,Ecriture automatique 28,382.94,0
2023-03-31,893,Ecriture automatique 29,740.23,0
2023-09-09,928,Ecriture automatique 30,658.5,0
2023-01-23,643,Ecriture automatique 31,921.72,0
2023-06-25,2920,Ecriture automatique 32,807.03,0
2023-09-27,3286,Ecriture automatique 33,0,421.54
2023-10-18,1307,Ecriture automatique 34,400.38,0
2023-12-29,3775,Ecriture automatique 35,0,536.95
2023-10-26,3772,Ecriture automatique 36,0,16.7
2023-06-27,73,Ecriture automatique 37,435.22,0
2023-02-26,2141,Ecriture automatique 38,0,465.38
2023-03-25,1218,Ecriture automatique 39,0,402.07
2023-03-02,4919,Ecriture automatique 40,450.96,0
2023-08-30,1505,Ecriture automatique 41,0,797.67
2023-09-30,2803,Ecriture automatique 42,0,302.45
2023-02-10,1357,Ecriture automatique 43,230.0,0
2023-04-08,264,Ecriture automatique 44,203.67,0
2023-09-14,1954,Ecriture automatique 45,898.02,0
2023-04-16,2933,Ecriture automatique 46,968.67,0
2023-12-01,3663,Ecriture automatique 47,377.03,0
2023-01-06,346,Ecriture automatique 48,558.22,0
2023-11-09,93,Ecriture automatique 49,0,943.56
2023-10-04,4025,Ecriture automatique 50,857.93,0
2023-09-06,3360,Ecriture automatique 51,0,553.7
2023-04-10,1229,Ecriture automatique 52,945.84,0
2023-01-23,1754,Ecriture automatique 53,0,547.23
2023-05-30,1135,Ecriture automatique 54,0,675.63
2023-01-17,2623,Ecriture automatique 55,0,925.33
2023-07-05,660,Ecriture automatique 56,45.31,0
2023-08-25,801,Ecriture automatique 57,19.75,0
2023-04-08,2017,Ecriture automatique 58,0,682.5
2023-03-26,4661,Ecriture automatique 59,911.77,0
2023-09-04,2709,Ecriture automatique 60,0,557.39
2023-03-02,4693,Ecriture automatique 61,0,525.92
2023-01-29,2851,Ecriture automatique 62,0,378.88
2023-08-07,3813,Ecriture automatique 63,912.75,0
2023-12-06,3181,Ecriture automatique 64,895.8,0
2023-04-13,4165,Ecriture automatique 65,0,169.21
2023-05-11,1459,Ecriture automatique 66,47.67,0
2023-06-03,1887,Ecriture automatique 67,0,975.59
2023-01-19,3534,Ecriture automatique 68,0,618.6
2023-04-06,62,Ecriture automatique 69,187.06,0
2023-03-24,2630,Ecriture automatique 70,0,86.49
2023-08-07,2827,Ecriture automatique 71,849.47,0
2023-09-11,56,Ecriture automatique 72,826.41,0
2023-08-16,3611,Ecriture automatique 73,0,891.15
